id_delito,tipo_muerte,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,area_hecho,lugar,tipo_lugar
1,HOMICIDIO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,BOSQUE Y RESERVAS ECOLÓGICAS,PÚBLICO
2,HOMICIDIO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,DEFENSA PROPIA,HERIDA POR ARMA BLANCA,URBANO,CANCHAS DE USO MÚLTIPLE,PÚBLICO
3,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA BLANCA,URBANO,CASA/VILLA,PRIVADO
4,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,COVACHA/CHOZA,PRIVADO
5,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,FINCA,PRIVADO
6,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,HACIENDAS,PRIVADO
7,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,MAR,PÚBLICO
8,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,PLAYA,PÚBLICO
9,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,ROBO A DOMICILIOS,HERIDA POR ARMA BLANCA,RURAL,RÍO,PÚBLICO
10,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,VÍA PÚBLICA,PÚBLICO
11,HOMICIDIO,ARMA BLANCA,CORTO PUNZANTE,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,RURAL,CANCHAS DE USO MÚLTIPLE,PÚBLICO
12,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,HOTELES,PRIVADO
13,ASESINATO,ARMA BLANCA,CORTO PUNZANTE,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,INSTITUTO EDUCATIVO,PRIVADO
14,HOMICIDIO,ARMA BLANCA,CORTO PUNZANTE,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
15,HOMICIDIO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,CASA/VILLA,PRIVADO
16,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,CEMENTERIOS,PRIVADO
17,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,CENTROS DE REHABILITACIÓN SOCIAL,PRIVADO
18,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,FINCA,PRIVADO
19,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,HACIENDAS,PRIVADO
20,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,INTERIOR DE VEHÍCULO PARTICULAR,PRIVADO
21,HOMICIDIO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA BLANCA,URBANO,LOCALES DE NECESIDADES BÁSICAS,PRIVADO
22,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA BLANCA,RURAL,MAR,PÚBLICO
23,ASESINATO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA BLANCA,RURAL,QUEBRADAS,PÚBLICO
24,HOMICIDIO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,TERRENO BALDÍO,PÚBLICO
25,HOMICIDIO,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
26,ASESINATO,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,RURAL,CASA/VILLA,PRIVADO
27,ASESINATO,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,PARQUES Y PLAZAS,PÚBLICO
28,HOMICIDIO,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,TERRENO BALDÍO,PÚBLICO
29,HOMICIDIO,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,"TIENDAS, MICROMERCADO, ABARROTES",PRIVADO
30,HOMICIDIO,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
31,FEMICIDIO,ARMA BLANCA,CUCHILLO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,HERIDA POR ARMA BLANCA,RURAL,CASA/VILLA,PRIVADO
32,ASESINATO,ARMA BLANCA,CUCHILLO,VIOLENCIA INTRAFAMILIAR,SENTIMENTAL,HERIDA POR ARMA BLANCA,URBANO,DEPARTAMENTO EN CASA O EDIFICIO,PRIVADO
33,HOMICIDIO,ARMA BLANCA,CUCHILLO,VIOLENCIA INTRAFAMILIAR,MALTRATO,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
34,ASESINATO,ARMA BLANCA,DESTORNILLADOR,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,CUARTOS EN CASA DE INQUILINATO,PRIVADO
35,ASESINATO,ARMA BLANCA,HACHA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,CASA/VILLA,PRIVADO
36,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,BOSQUE Y RESERVAS ECOLÓGICAS,PÚBLICO
37,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,CASA/VILLA,PRIVADO
38,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA BLANCA,RURAL,FINCA,PRIVADO
39,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,RURAL,MAR,PÚBLICO
40,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA BLANCA,RURAL,RÍO,PÚBLICO
41,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,TERRENO BALDÍO,PÚBLICO
42,ASESINATO,ARMA BLANCA,MACHETE,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,URBANO,VÍA PÚBLICA,PÚBLICO
43,ASESINATO,ARMA BLANCA,MACHETE,VIOLENCIA COMUNITARIA,LITIGIO DE TIERRAS,HERIDA POR ARMA BLANCA,RURAL,CASA/VILLA,PRIVADO
44,ASESINATO,ARMA BLANCA,MACHETE,VIOLENCIA COMUNITARIA,LINCHAMIENTO,HERIDA POR ARMA BLANCA,RURAL,VÍA PÚBLICA,PÚBLICO
45,ASESINATO,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,ROBO A DOMICILIOS,HERIDA POR ARMA BLANCA,RURAL,CASA/VILLA,PRIVADO
