id_geografia,codigo_provincia,provincia,codigo_canton,canton,zona,subzona,distrito,circuito,subcircuito
115,1,AZUAY,115,CAMILO PONCE ENRÍQUEZ,ZONA 6,AZUAY,PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ,CAMILO PONCE ENRÍQUEZ 1
111,1,AZUAY,111,CHORDELEG,ZONA 6,AZUAY,GUALACEO,CHORDELEG,CHORDELEG 1
101,1,AZUAY,101,CUENCA,ZONA 6,AZUAY,CUENCA SUR,CAYAMBE,CAYAMBE 2
203,2,BOLÍVAR,203,CHIMBO,ZONA 5,BOLÍVAR,SAN MIGUEL,CHIMBO,CHIMBO 1
201,2,BOLÍVAR,201,GUARANDA,ZONA 5,BOLÍVAR,GUARANDA,SAN LUIS,SAN LUIS 1
207,2,BOLÍVAR,207,LAS NAVES,ZONA 5,BOLÍVAR,SUBTRÓPICO,LAS NAVES,LAS NAVES 1
402,4,CARCHI,402,BOLÍVAR,ZONA 1,CARCHI,MONTÚFAR,BOLÍVAR,BOLÍVAR 1
405,4,CARCHI,405,MONTÚFAR,ZONA 1,CARCHI,MONTÚFAR,SAN GABRIEL SUR,SAN GABRIEL SUR 1
401,4,CARCHI,401,TULCÁN,ZONA 1,CARCHI,TULCÁN,CHICAL,CHICAL 1
301,3,CAÑAR,301,AZOGUES,ZONA 6,CAÑAR,AZOGUES,AZOGUES SUR,AZOGUES SUR 1
303,3,CAÑAR,303,CAÑAR,ZONA 6,CAÑAR,CAÑAR,CAÑAR,CAÑAR 1
304,3,CAÑAR,304,LA TRONCAL,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL OESTE,TRONCAL OESTE 3
607,6,CHIMBORAZO,607,GUANO,ZONA 3,CHIMBORAZO,GUANO,GUANO,GUANO 1
601,6,CHIMBORAZO,601,RIOBAMBA,ZONA 3,CHIMBORAZO,RIOBAMBA,LA ESTACIÓN,LA ESTACIÓN 2
502,5,COTOPAXI,502,LA MANÁ,ZONA 3,COTOPAXI,LA MANÁ,LA MANÁ SUR,LA MANÁ SUR 1
501,5,COTOPAXI,501,LATACUNGA,ZONA 3,COTOPAXI,LATACUNGA,GUAYTACAMA,GUAYTACAMA 2
503,5,COTOPAXI,503,PANGUA,ZONA 3,COTOPAXI,PANGUA,MORASPUNGO,MORASPUNGO 1
504,5,COTOPAXI,504,PUJILÍ,ZONA 3,COTOPAXI,DANSANTE,LA ESPERANZA,LA ESPERANZA 1
505,5,COTOPAXI,505,SALCEDO,ZONA 3,COTOPAXI,SALCEDO,CUSUBAMBA,CUSUBAMBA 1
507,5,COTOPAXI,507,SIGCHOS,ZONA 3,COTOPAXI,SIGCHOS,SIGCHOS,SIGCHOS 1
702,7,EL ORO,702,ARENILLAS,ZONA 7,EL ORO,HUAQUILLAS,ARENILLAS,ARENILLAS 1
