id_victima,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
1,HOMBRE,FEMENINO,AFRO,CASADO,ECUADOR,NINGUNA,TRABAJADOR GENERAL,SIN_DATO
2,HOMBRE,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,PSICOLOGICA,ESTADO PERSONAL,SIN_DATO
3,HOMBRE,MASCULINO,AFRO,SOLTERO,COLOMBIA,NINGUNA,ESTADO PERSONAL,SIN_DATO
4,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
5,HOMBRE,MASCULINO,AFRO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
6,HOMBRE,MASCULINO,AFRO,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
7,HOMBRE,MASCULINO,BLANCO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO
8,HOMBRE,MASCULINO,BLANCO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
9,HOMBRE,MASCULINO,INDIGENA,SOLTERO,ECUADOR,NINGUNA,BACHILLER TÉCNICO,SIN_DATO
10,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
11,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
12,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
13,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,OTROS,NINGUNA,SIN_DATO,SIN_DATO
14,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,PERU,NINGUNA,SIN_DATO,SIN_DATO
15,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
16,HOMBRE,MASCULINO,MONTUBIO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,BASICA
