tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,codigo_provincia,provincia,codigo_canton,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
HOMICIDIO,ZONA 2,PICHINCHA,RUMIÑAHUI - MEJÍA,SAN RAFAEL,17D11C11S01,SAN RAFAEL 1,17,PICHINCHA,1705,RUMIÑAHUI,"-0,30843","-78,45269",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,02:30:00,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,BATALLÓN DEL SUBURBIO,09D04C05S01,BATALLÓN DEL SUBURBIO 1,9,GUAYAS,901,GUAYAQUIL,"-2,22568","-79,94684",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,00:34:00,CONSTRICTORA,CUERDA,DELINCUENCIA COMÚN,AMENAZA,ESTRANGULACION,SIN_DATO,SIN_DATO,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
HOMICIDIO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,17D07C05S06,TURUBAMBA 6,17,PICHINCHA,1701,QUITO,"-0,35634","-78,52466",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,04:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,25,A,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
HOMICIDIO,ZONA 9,D.M. QUITO,QUITUMBE,TURUBAMBA,17D07C05S06,TURUBAMBA 6,17,PICHINCHA,1701,QUITO,"-0,35634","-78,52466",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,04:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30,A,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,SALINAS CENTRO,24D02C05S03,SALINAS CENTRO 3,24,SANTA ELENA,2403,SALINAS,"-2,21079","-80,95099",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,01:15:00,ARMA DE FUEGO,REVOLVER,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,44,A,HOMBRE,MASCULINO,MESTIZO/A,CASADO,ECUADOR,NINGUNA,ADMINISTRADOR,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUASMO,09D01C01S02,GUASMO 2,9,GUAYAS,901,GUAYAQUIL,"-2,27349","-79,87978",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,01:40:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 1,IMBABURA,CIUDAD BLANCA,LITA,10D01C17S01,LITA 1,10,IMBABURA,1001,IBARRA,"0,81646","-78,35996",RURAL,CASA/VILLA,PRIVADO,2026-05-31,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,29,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,PERU,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,12D02C02S02,SAN JUAN 2,12,LOS RÍOS,1204,PUEBLOVIEJO,"-1,62714","-79,55411",RURAL,CASA/VILLA,PRIVADO,2026-05-31,04:00:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,25,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,MODELO,ATARAZANA,09D05C01S01,ATARAZANA 1,9,GUAYAS,901,GUAYAQUIL,"-2,17738","-79,8764",URBANO,PARQUES Y PLAZAS,PÚBLICO,2026-05-31,03:30:00,ARMA DE FUEGO,REVOLVER,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,12D02C02S02,SAN JUAN 2,12,LOS RÍOS,1204,PUEBLOVIEJO,"-1,62714","-79,55411",RURAL,CASA/VILLA,PRIVADO,2026-05-31,09:30:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,67,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,DURÁN,CENTRO,09D24C02S02,CENTRO 2,9,GUAYAS,907,DURÁN,"-2,17702","-79,84384",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,10:59:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,PUEBLO VIEJO,SAN JUAN,12D02C02S02,SAN JUAN 2,12,LOS RÍOS,1204,PUEBLOVIEJO,"-1,62714","-79,55411",RURAL,CASA/VILLA,PRIVADO,2026-05-31,09:30:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,48,A,HOMBRE,MASCULINO,MESTIZO/A,DIVORCIADO,ECUADOR,NINGUNA,AYUDANTE/JORNALERO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,DURÁN,CENTRO,09D24C02S02,CENTRO 2,9,GUAYAS,907,DURÁN,"-2,17702","-79,84384",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,10:59:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,DAULE,PORVENIR,09D19C09S01,PORVENIR 1,9,GUAYAS,918,SANTA LUCÍA,"-1,74861","-80,02863",URBANO,CASA/VILLA,PRIVADO,2026-05-31,12:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRÁFICO INTERNO DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,46,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,VISUAL,ESTADO PERSONAL,PRIMARIA
ASESINATO,ZONA 5,GUAYAS,DAULE,NOBOL,09D19C10S01,NOBOL 1,9,GUAYAS,925,NOBOL,"-1,97458","-80,00689",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,09:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,25,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,VALLE HERMOSO,08D01C08S02,VALLE HERMOSO 2,8,ESMERALDAS,801,ESMERALDAS,"0,90648","-79,69044",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,13:25:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,47,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,EMPALME,EMPALME SUROESTE,09D15C04S01,EMPALME SUROESTE 1,9,GUAYAS,908,EL EMPALME,"-1,04899","-79,63974",RURAL,VÍA PÚBLICA,PÚBLICO,2026-05-31,00:30:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,22,A,HOMBRE,MASCULINO,NO DETERMINADO,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 6,MORONA SANTIAGO,SANGAY,PALORA,14D02C01S01,PALORA 1,14,MORONA SANTIAGO,1404,PALORA,"-1,70159","-77,96583",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,08:00:00,ARMA CONTUNDENTE,PALO,VIOLENCIA COMUNITARIA,LINCHAMIENTO,HERIDAS CONTUSAS,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,VENEZUELA,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,SALINAS,09D04C03S04,SALINAS 4,9,GUAYAS,901,GUAYAQUIL,"-2,19297","-79,91857",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,14:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTADO PERSONAL,SIN_DATO
ASESINATO,ZONA 4,STO DGO DE LOS TSÁCHILAS,LA CONCORDIA,MONTERREY,23D03C02S01,MONTERREY 1,23,STO DGO DE LOS TSÁCHILAS,2302,LA CONCORDIA,"-0,0295","-79,49494",URBANO,PARQUES Y PLAZAS,PÚBLICO,2026-05-31,14:30:00,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,33,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,TRABAJADOR PRIMARIO,SIN_DATO
ASESINATO,ZONA 6,MORONA SANTIAGO,SANGAY,PALORA,14D02C01S01,PALORA 1,14,MORONA SANTIAGO,1404,PALORA,"-1,70128","-77,96594",URBANO,VÍA PÚBLICA,PÚBLICO,2026-05-31,09:45:00,OTROS,HIDROCARBUROS,VIOLENCIA COMUNITARIA,LINCHAMIENTO,QUEMADURAS,27,A,HOMBRE,MASCULINO,NO DETERMINADO,NO DETERMINADO,COLOMBIA,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 9,D.M. QUITO,EUGENIO ESPEJO,JIPIJAPA,17D05C12S01,JIPIJAPA 1,17,PICHINCHA,1701,QUITO,"-0,15801","-78,47741",URBANO,"TIENDAS, MICROMERCADO, ABARROTES",PRIVADO,2026-05-31,18:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,ROBO A UNIDADES ECONÓMICAS,HERIDA POR ARMA DE FUEGO,27,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER CIENCIAS,SIN_DATO
