fecha_infraccion,provincia,homicidios,dia_semana,mes,prediccion_baseline,prediccion_regresion
2026-05-02,BOLÍVAR,1,5,5,1.4543995046041993,1.6047624630852946
2026-05-02,EL ORO,4,5,5,3.5544030156826683,3.703724364412924
2026-05-02,ESMERALDAS,2,5,5,1.899352777702288,2.023042639277101
2026-05-02,GUAYAS,20,5,5,9.931519104758296,10.506100292307076
2026-05-02,LOS RÍOS,3,5,5,3.100323946216176,3.3873113207970844
2026-05-02,MANABÍ,2,5,5,4.712073161334478,3.6112179541367464
2026-05-02,SUCUMBÍOS,2,5,5,1.6554880222164396,1.6784014012045725
2026-05-03,TUNGURAHUA,1,6,5,2.1280341425398346,1.3338582461789175
2026-05-03,LOS RÍOS,2,6,5,2.8225878379310174,3.1854546808824074
2026-05-03,SANTA ELENA,1,6,5,2.072036279330995,1.552424652748056
2026-05-03,MANABÍ,4,6,5,4.289951833212875,3.4093613142220693
2026-05-03,GUAYAS,9,6,5,9.041824507236731,10.3042436523924
2026-05-03,EL ORO,1,6,5,3.2359891731364536,3.501867724498247
2026-05-03,ESMERALDAS,1,6,5,1.7292031875656009,1.8211859993624238
2026-05-03,AZUAY,2,6,5,0.9654969720782582,1.212462148524023
2026-05-04,EL ORO,2,0,5,2.962132340047328,3.003020648356588
2026-05-04,ESMERALDAS,1,0,5,1.5828633565656876,1.322338923220765
2026-05-04,GUAYAS,14,0,5,8.276628676096326,9.80539657625074
2026-05-04,LOS RÍOS,1,0,5,2.5837165299462437,2.6866076047407486
2026-05-04,MANABÍ,1,0,5,3.9268997461102866,2.9105142380804105
2026-05-05,BOLÍVAR,2,1,5,1.3059209227001618,0.9686643808943844
2026-05-05,EL ORO,3,1,5,3.1915366109477326,3.0676262822220135
2026-05-05,ESMERALDAS,1,1,5,1.7054492415171065,1.3869445570861905
2026-05-05,GUAYAS,4,1,5,8.917617581717916,9.870002210116166
2026-05-05,MANABÍ,2,1,5,4.231021057969372,2.975119871945836
2026-05-05,SANTA ELENA,1,1,5,2.0435728585232633,1.1181832104718228
2026-05-06,GUAYAS,5,2,5,9.648569842514467,9.893141505380797
2026-05-06,SUCUMBÍOS,2,2,5,1.6083231212985922,1.0654426142782936
2026-05-06,PICHINCHA,1,2,5,2.06667468692106,1.3826957595709195
2026-05-06,ORELLANA,1,2,5,1.3355737447918161,1.067314970348942
2026-05-06,EL ORO,3,2,5,3.453137972500825,3.0907655774866454
2026-05-06,LOS RÍOS,2,2,5,3.0119956286601592,2.7743525338708057
2026-05-06,MANABÍ,1,2,5,4.577826062720959,2.9982591672104677
2026-05-07,COTOPAXI,1,3,5,1.0089730079731856,0.6769025907161494
2026-05-07,GUAYAS,16,3,5,9.186503591939505,9.873920464592905
2026-05-07,LOS RÍOS,3,3,5,2.8677523315084144,2.7551314930829127
2026-05-07,MANABÍ,4,3,5,4.358595756145848,2.979038126422575
2026-05-07,PASTAZA,1,3,5,1.2972510102512387,0.851793620908619
2026-05-07,SANTA ELENA,3,3,5,2.1051911267984083,1.1221014649485617
2026-05-08,LOS RÍOS,2,4,5,2.7381778442365086,2.758872203597419
